Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Brazil,2016.0,Man-in-the-Middle,Retail,72.78,11339.0,Hacker Group,Social Engineering,AI-based Detection,34.0
UK,2017.0,SQL Injection,Banking,73.88,8385.0,Nation-state,Social Engineering,AI-based Detection,69.0
Russia,2024.0,Ransomware,Banking,52.8,21810.0,Insider,Zero-day,VPN,48.0
India,2018.0,Man-in-the-Middle,Healthcare,94.6,7347.0,Insider,Zero-day,AI-based Detection,7.0
Germany,2021.0,SQL Injection,Education,1.62,61463.0,Hacker Group,Weak Passwords,Antivirus,58.0
Russia,2020.0,DDoS,Healthcare,0.82,683572.0,Insider,Zero-day,Antivirus,69.0
Germany,2015.0,Malware,,90.91,654633.0,Nation-state,Weak Passwords,Antivirus,43.0
Japan,2021.0,DDoS,Banking,32.84,311274.0,Hacker Group,Zero-day,Encryption,67.0
Russia,2017.0,Malware,Education,63.33,185208.0,Unknown,Zero-day,Firewall,3.0
Russia,2022.0,Man-in-the-Middle,Healthcare,27.82,182378.0,Insider,Social Engineering,,10.0
China,2016.0,Phishing,IT,7.73,800480.0,Unknown,Zero-day,VPN,31.0
India,2019.0,DDoS,Banking,46.98,147761.0,Unknown,Unpatched Software,AI-based Detection,68.0
Russia,2024.0,Ransomware,Banking,80.11,923911.0,Insider,Unpatched Software,Firewall,60.0
Germany,2024.0,Ransomware,Education,11.81,418893.0,Insider,Social Engineering,Firewall,31.0
Germany,2016.0,Ransomware,,15.09,914593.0,Unknown,Weak Passwords,AI-based Detection,1.0
Japan,2015.0,SQL Injection,Banking,20.69,344789.0,Unknown,Zero-day,AI-based Detection,69.0
India,2019.0,DDoS,Telecommunications,36.86,116906.0,,Social Engineering,VPN,7.0
Australia,2019.0,Phishing,Education,10.87,812343.0,Insider,Social Engineering,Antivirus,16.0
China,2017.0,Malware,IT,18.17,346390.0,Hacker Group,Weak Passwords,Firewall,36.0
Brazil,2018.0,,IT,13.89,30925.0,Insider,Zero-day,Encryption,43.0
UK,2017.0,DDoS,Government,15.63,663812.0,Nation-state,Zero-day,Antivirus,57.0
Brazil,2020.0,Man-in-the-Middle,Government,32.72,220978.0,Nation-state,,VPN,47.0
UK,2021.0,DDoS,Banking,97.03,100486.0,Nation-state,Unpatched Software,Firewall,31.0
Russia,2023.0,SQL Injection,Education,75.63,195733.0,Nation-state,Weak Passwords,Antivirus,70.0
Japan,2023.0,Man-in-the-Middle,Healthcare,64.21,707978.0,Nation-state,Weak Passwords,VPN,41.0
Brazil,2018.0,Phishing,Healthcare,99.14,456432.0,Insider,Weak Passwords,Antivirus,66.0
Brazil,2016.0,Man-in-the-Middle,IT,75.51,37230.0,Unknown,Social Engineering,AI-based Detection,52.0
,2015.0,DDoS,Government,11.68,890414.0,Nation-state,Unpatched Software,AI-based Detection,28.0
France,2021.0,Malware,IT,33.84,440358.0,Nation-state,Social Engineering,Antivirus,5.0
India,2022.0,Malware,Healthcare,38.89,400752.0,Insider,Unpatched Software,Antivirus,36.0
France,2018.0,Phishing,Banking,89.77,134364.0,Nation-state,Zero-day,Antivirus,63.0
Germany,2017.0,DDoS,Telecommunications,15.01,406483.0,Insider,Weak Passwords,Antivirus,62.0
Brazil,,SQL Injection,IT,,661583.0,Insider,Social Engineering,Encryption,30.0
Russia,2015.0,SQL Injection,Education,23.49,642834.0,Unknown,Weak Passwords,Antivirus,34.0
Brazil,2017.0,Ransomware,IT,9.43,493087.0,Hacker Group,Unpatched Software,Encryption,44.0
Brazil,2021.0,Man-in-the-Middle,IT,97.37,966570.0,Nation-state,Weak Passwords,Antivirus,32.0
Russia,2022.0,Phishing,Telecommunications,73.26,687383.0,Nation-state,Weak Passwords,VPN,8.0
,2020.0,Phishing,Retail,78.84,733304.0,Unknown,Weak Passwords,VPN,19.0
India,2023.0,Ransomware,Telecommunications,3.51,661681.0,,Weak Passwords,AI-based Detection,14.0
France,2020.0,SQL Injection,IT,25.32,644538.0,Unknown,Social Engineering,Antivirus,57.0
Germany,2015.0,Phishing,Banking,58.78,861637.0,,Social Engineering,,15.0
Brazil,2016.0,SQL Injection,Telecommunications,73.76,393189.0,Unknown,Zero-day,Antivirus,37.0
France,2022.0,SQL Injection,Healthcare,27.06,999545.0,Hacker Group,Social Engineering,Encryption,47.0
UK,2021.0,SQL Injection,IT,,935572.0,Hacker Group,Social Engineering,Encryption,61.0
France,2016.0,Ransomware,IT,55.99,724608.0,Hacker Group,Social Engineering,Antivirus,21.0
Brazil,2024.0,DDoS,Banking,55.73,750979.0,Unknown,Social Engineering,AI-based Detection,30.0
India,2017.0,Malware,Telecommunications,7.44,552358.0,Nation-state,Weak Passwords,AI-based Detection,42.0
Australia,2019.0,,Banking,37.07,902654.0,Insider,Social Engineering,Antivirus,9.0
UK,2022.0,Ransomware,Healthcare,75.67,413293.0,Hacker Group,Zero-day,Antivirus,
India,2024.0,Malware,Retail,56.19,114357.0,Insider,Zero-day,AI-based Detection,58.0
USA,2018.0,Malware,Government,70.53,363432.0,Hacker Group,Zero-day,AI-based Detection,40.0
Japan,2016.0,SQL Injection,Telecommunications,63.77,,Unknown,Unpatched Software,Antivirus,54.0
India,2022.0,SQL Injection,IT,,153154.0,,Zero-day,VPN,37.0
China,2022.0,Malware,Banking,21.87,741153.0,Insider,Social Engineering,Encryption,66.0
Japan,2024.0,Man-in-the-Middle,Healthcare,72.08,261230.0,Insider,Social Engineering,VPN,19.0
UK,2023.0,SQL Injection,Telecommunications,53.82,688014.0,Unknown,Zero-day,Encryption,18.0
Australia,2018.0,DDoS,Education,3.3,45027.0,Unknown,,Antivirus,68.0
Australia,2021.0,Malware,Banking,13.99,689681.0,Nation-state,Weak Passwords,AI-based Detection,62.0
Germany,2024.0,Malware,Government,93.49,702688.0,Hacker Group,Unpatched Software,Antivirus,39.0
China,2016.0,Man-in-the-Middle,Banking,97.28,86038.0,Insider,Weak Passwords,Encryption,19.0
Japan,2015.0,Malware,Education,17.19,899381.0,Insider,Unpatched Software,Firewall,66.0
India,2023.0,Malware,IT,54.21,157667.0,,Weak Passwords,VPN,34.0
UK,2021.0,Malware,Government,64.28,643714.0,Nation-state,Weak Passwords,VPN,25.0
USA,2023.0,Ransomware,Education,71.31,3607.0,Insider,Zero-day,AI-based Detection,7.0
UK,2017.0,Phishing,Banking,52.31,259706.0,Hacker Group,Social Engineering,Antivirus,2.0
India,2021.0,Man-in-the-Middle,Retail,40.94,698921.0,Insider,Weak Passwords,Firewall,72.0
Brazil,2024.0,Ransomware,Government,,482574.0,Nation-state,Unpatched Software,Firewall,22.0
,2017.0,DDoS,IT,20.44,618269.0,Nation-state,Weak Passwords,VPN,48.0
Russia,2016.0,Ransomware,Government,59.66,854961.0,Unknown,Unpatched Software,AI-based Detection,7.0
Brazil,2019.0,SQL Injection,Education,56.33,595157.0,Unknown,Zero-day,Encryption,41.0
France,2016.0,SQL Injection,Government,2.24,813706.0,Hacker Group,Weak Passwords,VPN,54.0
Brazil,2018.0,DDoS,Telecommunications,82.05,322527.0,Nation-state,Weak Passwords,Firewall,46.0
China,2024.0,DDoS,Healthcare,11.92,557016.0,Unknown,Zero-day,Firewall,34.0
UK,2017.0,DDoS,Healthcare,54.83,966668.0,Hacker Group,Weak Passwords,AI-based Detection,15.0
France,2020.0,SQL Injection,Retail,36.17,813165.0,Nation-state,Unpatched Software,Antivirus,44.0
France,2018.0,SQL Injection,Government,80.06,400807.0,Unknown,Weak Passwords,Firewall,67.0
Brazil,2023.0,Man-in-the-Middle,Retail,74.85,549300.0,Hacker Group,Weak Passwords,Antivirus,26.0
Brazil,2021.0,,Government,74.01,956893.0,Unknown,Social Engineering,Antivirus,49.0
India,2015.0,SQL Injection,Government,46.2,245370.0,Insider,,AI-based Detection,57.0
Brazil,2017.0,Malware,IT,9.59,912731.0,Nation-state,Zero-day,Firewall,4.0
USA,2017.0,Malware,Telecommunications,81.19,362085.0,Insider,,VPN,5.0
Germany,2022.0,SQL Injection,Telecommunications,42.8,862664.0,Hacker Group,Zero-day,Firewall,44.0
China,2015.0,Ransomware,Telecommunications,32.65,313384.0,Insider,Social Engineering,Antivirus,51.0
Russia,2018.0,Malware,Banking,17.99,593009.0,Unknown,Social Engineering,Firewall,27.0
Germany,2023.0,SQL Injection,Banking,30.68,933754.0,Insider,Social Engineering,Firewall,36.0
Japan,2015.0,DDoS,Government,82.12,55055.0,Hacker Group,Unpatched Software,VPN,44.0
France,2020.0,SQL Injection,Education,94.63,481180.0,Hacker Group,Weak Passwords,AI-based Detection,10.0
Russia,2020.0,Man-in-the-Middle,Banking,54.03,110260.0,Unknown,Weak Passwords,VPN,66.0
USA,2020.0,DDoS,Government,10.54,741592.0,Insider,Social Engineering,VPN,69.0
Russia,2020.0,Phishing,Education,34.41,928026.0,Unknown,Social Engineering,VPN,5.0
Germany,2018.0,SQL Injection,Education,84.27,399014.0,Nation-state,Zero-day,Firewall,52.0
China,2018.0,Ransomware,Retail,35.08,42831.0,Hacker Group,Social Engineering,Antivirus,42.0
UK,2018.0,Man-in-the-Middle,Healthcare,45.11,545613.0,Insider,Unpatched Software,VPN,25.0
Australia,2023.0,Man-in-the-Middle,,,813789.0,Nation-state,,Antivirus,27.0
UK,2015.0,Ransomware,Banking,13.49,345825.0,Hacker Group,Zero-day,AI-based Detection,6.0
UK,2016.0,Phishing,,8.42,29671.0,Insider,Unpatched Software,,61.0
Australia,2020.0,Phishing,Government,92.5,34011.0,Insider,Unpatched Software,Firewall,9.0
USA,2018.0,SQL Injection,Banking,63.8,341383.0,Nation-state,Weak Passwords,Antivirus,9.0
Japan,2020.0,Ransomware,Banking,40.86,565080.0,Unknown,Zero-day,Encryption,6.0
Germany,2019.0,Malware,Banking,79.24,862136.0,Hacker Group,Zero-day,VPN,44.0
Japan,2022.0,Man-in-the-Middle,Retail,37.15,241151.0,Hacker Group,Social Engineering,Antivirus,56.0
India,2024.0,Man-in-the-Middle,Government,62.06,321158.0,Insider,Zero-day,VPN,37.0
France,2023.0,Phishing,,31.03,472386.0,Nation-state,Zero-day,Encryption,24.0
UK,2015.0,Man-in-the-Middle,Healthcare,82.54,34240.0,Insider,Weak Passwords,,45.0
USA,2019.0,Malware,Government,34.4,98018.0,Insider,Zero-day,VPN,55.0
Japan,2024.0,Phishing,Education,72.2,555808.0,Unknown,Weak Passwords,AI-based Detection,4.0
UK,2021.0,SQL Injection,Healthcare,52.23,449333.0,Hacker Group,Unpatched Software,Encryption,39.0
UK,2024.0,Man-in-the-Middle,Retail,7.16,368618.0,Nation-state,Social Engineering,Firewall,22.0
France,2022.0,Man-in-the-Middle,IT,78.23,310175.0,Hacker Group,,AI-based Detection,53.0
UK,2020.0,Phishing,Retail,,986980.0,Nation-state,Zero-day,VPN,71.0
UK,2024.0,DDoS,,88.54,518181.0,Insider,Zero-day,Antivirus,24.0
India,2015.0,Phishing,Retail,49.51,72782.0,Unknown,Zero-day,Encryption,63.0
Russia,2018.0,DDoS,Telecommunications,4.08,502842.0,Unknown,Zero-day,VPN,15.0
UK,2024.0,,Retail,,376586.0,Unknown,Weak Passwords,AI-based Detection,51.0
Germany,2023.0,Phishing,Government,88.55,698597.0,Unknown,Social Engineering,Antivirus,66.0
Russia,2015.0,SQL Injection,Education,5.26,559195.0,Insider,Weak Passwords,VPN,52.0
India,2024.0,Ransomware,Retail,17.57,236253.0,Unknown,Social Engineering,Firewall,38.0
Brazil,2016.0,DDoS,Healthcare,8.01,534847.0,Nation-state,Zero-day,Firewall,3.0
Australia,2016.0,Malware,Retail,39.86,262611.0,Unknown,Social Engineering,Antivirus,33.0
Brazil,2021.0,SQL Injection,Telecommunications,11.61,848702.0,Unknown,Weak Passwords,Antivirus,48.0
Germany,2017.0,Man-in-the-Middle,Retail,73.98,609952.0,Hacker Group,Unpatched Software,VPN,7.0
Germany,2022.0,Man-in-the-Middle,IT,65.86,978868.0,Insider,Weak Passwords,AI-based Detection,39.0
Australia,2021.0,Ransomware,Retail,41.26,659734.0,Insider,Unpatched Software,Antivirus,54.0
Japan,2022.0,DDoS,Retail,64.38,88354.0,Nation-state,Social Engineering,AI-based Detection,52.0
Brazil,2022.0,Phishing,Banking,75.01,771434.0,Hacker Group,Social Engineering,AI-based Detection,38.0
Australia,2016.0,SQL Injection,Banking,1.73,91560.0,Hacker Group,Weak Passwords,AI-based Detection,35.0
UK,2021.0,Phishing,Healthcare,1.35,375292.0,Unknown,Unpatched Software,Firewall,48.0
Japan,2015.0,SQL Injection,Retail,70.88,43366.0,Unknown,Weak Passwords,AI-based Detection,43.0
India,2019.0,Ransomware,Telecommunications,32.08,429224.0,Unknown,Social Engineering,AI-based Detection,56.0
Brazil,2017.0,,Healthcare,68.99,526227.0,,Weak Passwords,VPN,62.0
Japan,2024.0,Man-in-the-Middle,Retail,9.77,621770.0,Insider,Unpatched Software,AI-based Detection,
India,2019.0,DDoS,Telecommunications,14.53,857688.0,Insider,Zero-day,Antivirus,55.0
Brazil,2024.0,SQL Injection,Banking,33.06,644841.0,Insider,Weak Passwords,Antivirus,64.0
Russia,2024.0,Man-in-the-Middle,IT,67.61,242847.0,Unknown,Unpatched Software,VPN,37.0
China,2022.0,Man-in-the-Middle,IT,85.3,155225.0,Unknown,Weak Passwords,Antivirus,13.0
Japan,2017.0,Man-in-the-Middle,Banking,79.68,712646.0,Nation-state,Unpatched Software,AI-based Detection,50.0
UK,2022.0,Phishing,Government,61.87,298941.0,Unknown,Zero-day,Antivirus,13.0
Russia,2018.0,Man-in-the-Middle,Telecommunications,4.92,783480.0,Insider,Zero-day,AI-based Detection,55.0
Germany,2019.0,Phishing,Healthcare,99.97,950451.0,Hacker Group,Weak Passwords,AI-based Detection,29.0
China,2018.0,Malware,Education,95.42,917848.0,Insider,Social Engineering,VPN,30.0
Germany,2016.0,SQL Injection,Education,42.98,194633.0,Nation-state,Social Engineering,Antivirus,37.0
Australia,2016.0,Malware,Telecommunications,68.42,778844.0,Unknown,Zero-day,Encryption,65.0
France,2018.0,,,36.14,668774.0,Unknown,,Firewall,61.0
France,2023.0,SQL Injection,Healthcare,69.76,824351.0,,Zero-day,Firewall,17.0
UK,2020.0,Phishing,Healthcare,3.02,510974.0,Unknown,Weak Passwords,Encryption,16.0
Australia,2021.0,Man-in-the-Middle,Healthcare,86.29,404595.0,Unknown,Social Engineering,AI-based Detection,3.0
Germany,2022.0,SQL Injection,IT,6.31,742273.0,Hacker Group,Zero-day,AI-based Detection,67.0
China,2016.0,Phishing,IT,27.46,973388.0,Nation-state,Zero-day,AI-based Detection,63.0
China,2024.0,DDoS,Government,69.28,890675.0,Hacker Group,Unpatched Software,Firewall,5.0
Germany,2022.0,SQL Injection,Education,,710896.0,Nation-state,Zero-day,Firewall,18.0
India,2023.0,SQL Injection,Retail,2.85,30883.0,Nation-state,Weak Passwords,AI-based Detection,51.0
UK,2020.0,SQL Injection,Government,53.76,153355.0,Unknown,Zero-day,Encryption,57.0
Japan,2020.0,DDoS,Healthcare,25.83,96706.0,Insider,Unpatched Software,Firewall,42.0
Australia,2016.0,SQL Injection,IT,43.76,959797.0,Nation-state,Social Engineering,Antivirus,32.0
China,2024.0,,Telecommunications,9.45,501864.0,Hacker Group,Unpatched Software,Encryption,12.0
Japan,2024.0,Man-in-the-Middle,IT,63.57,358626.0,Unknown,Weak Passwords,VPN,26.0
Japan,2017.0,Man-in-the-Middle,Healthcare,11.3,64472.0,Insider,Social Engineering,Firewall,43.0
India,2023.0,DDoS,Education,82.11,23683.0,Hacker Group,Weak Passwords,Encryption,69.0
USA,2017.0,Man-in-the-Middle,IT,,22635.0,Unknown,Unpatched Software,AI-based Detection,8.0
UK,2017.0,SQL Injection,Government,98.75,894933.0,Insider,Weak Passwords,Antivirus,59.0
UK,2023.0,Malware,Banking,55.34,259176.0,Unknown,Unpatched Software,VPN,3.0
China,2022.0,Man-in-the-Middle,Banking,12.36,987115.0,Unknown,Social Engineering,Encryption,55.0
France,2022.0,DDoS,Healthcare,6.48,727601.0,Insider,Social Engineering,Encryption,50.0
UK,2021.0,Phishing,,56.53,542850.0,Nation-state,Zero-day,Antivirus,41.0
India,2023.0,Ransomware,Education,41.15,352194.0,,Unpatched Software,Firewall,10.0
France,2019.0,Malware,,39.83,571521.0,Nation-state,Weak Passwords,Antivirus,8.0
Brazil,2023.0,SQL Injection,Healthcare,47.59,933271.0,Insider,Unpatched Software,Antivirus,30.0
Brazil,2022.0,Phishing,Banking,98.06,884502.0,Insider,Unpatched Software,AI-based Detection,55.0
China,2015.0,Ransomware,IT,57.27,762001.0,Nation-state,Social Engineering,VPN,67.0
France,2016.0,DDoS,Government,82.49,351330.0,Nation-state,Weak Passwords,VPN,57.0
Australia,2023.0,Malware,Healthcare,37.73,158107.0,Unknown,Unpatched Software,AI-based Detection,43.0
USA,2016.0,SQL Injection,Government,77.45,632319.0,Unknown,Weak Passwords,AI-based Detection,47.0
India,2017.0,DDoS,Government,75.52,352250.0,Insider,Zero-day,VPN,39.0
France,2018.0,Ransomware,Telecommunications,11.28,504165.0,Hacker Group,Zero-day,AI-based Detection,55.0
Brazil,2024.0,DDoS,Telecommunications,36.69,738981.0,Unknown,Social Engineering,VPN,45.0
UK,2021.0,Ransomware,Banking,79.33,555527.0,Unknown,,Firewall,33.0
Russia,2019.0,SQL Injection,Banking,59.78,681856.0,Insider,Zero-day,VPN,52.0
Germany,2024.0,DDoS,Retail,38.65,197609.0,Nation-state,Social Engineering,VPN,15.0
USA,2018.0,Man-in-the-Middle,Banking,85.29,685291.0,Hacker Group,Social Engineering,Encryption,53.0
Japan,2024.0,Ransomware,Retail,37.49,835730.0,Insider,Zero-day,VPN,14.0
Germany,2016.0,Phishing,Education,48.57,907547.0,Unknown,Unpatched Software,Firewall,33.0
France,,Phishing,Retail,3.0,298096.0,Unknown,Social Engineering,Firewall,16.0
UK,2023.0,Phishing,Retail,33.06,18579.0,Unknown,Social Engineering,VPN,13.0
UK,2021.0,Malware,Education,70.9,490771.0,Nation-state,Weak Passwords,Antivirus,70.0
Germany,2020.0,Phishing,Healthcare,38.12,394577.0,Nation-state,Unpatched Software,Encryption,33.0
India,2021.0,DDoS,Telecommunications,35.19,155426.0,Nation-state,Zero-day,Firewall,16.0
Russia,2017.0,Ransomware,Education,,444399.0,Insider,Zero-day,Encryption,38.0
Japan,2015.0,Man-in-the-Middle,,7.96,770028.0,Unknown,Unpatched Software,Firewall,58.0
Brazil,2023.0,Ransomware,,66.38,608520.0,Hacker Group,Zero-day,VPN,14.0
Australia,2020.0,DDoS,Healthcare,91.45,471113.0,Hacker Group,Unpatched Software,AI-based Detection,71.0
Germany,2015.0,Man-in-the-Middle,Retail,63.65,311253.0,Nation-state,Weak Passwords,AI-based Detection,36.0
Brazil,2023.0,DDoS,,84.19,390409.0,Insider,Zero-day,AI-based Detection,31.0
China,2015.0,SQL Injection,IT,28.35,,Unknown,Zero-day,VPN,34.0
China,2024.0,SQL Injection,Government,84.23,,Unknown,Social Engineering,Antivirus,38.0
Russia,2020.0,SQL Injection,Telecommunications,29.89,267678.0,Insider,Zero-day,AI-based Detection,13.0
,2020.0,Malware,Education,5.95,592485.0,Insider,Weak Passwords,Firewall,10.0
USA,2018.0,DDoS,,84.85,639011.0,Insider,,Firewall,26.0
China,2023.0,Man-in-the-Middle,Telecommunications,28.82,446243.0,Unknown,Zero-day,Firewall,66.0
Germany,2016.0,,Government,22.48,10438.0,Nation-state,Unpatched Software,Encryption,10.0
Brazil,2023.0,SQL Injection,IT,97.37,796195.0,Nation-state,Social Engineering,Firewall,20.0
Australia,2020.0,SQL Injection,Telecommunications,53.32,55392.0,Unknown,Zero-day,VPN,44.0
Germany,2016.0,DDoS,,63.11,579291.0,Hacker Group,Unpatched Software,Encryption,6.0
Germany,2023.0,Malware,Banking,70.19,791366.0,,Unpatched Software,Firewall,61.0
France,2022.0,Malware,IT,92.29,727826.0,Unknown,Weak Passwords,Encryption,63.0
Russia,2023.0,Malware,,98.07,608695.0,Nation-state,Unpatched Software,AI-based Detection,31.0
Australia,2019.0,SQL Injection,Retail,13.96,496667.0,Unknown,Zero-day,Antivirus,45.0
Japan,2024.0,Malware,Retail,56.9,353887.0,Unknown,Weak Passwords,Antivirus,59.0
China,2019.0,Ransomware,Banking,32.69,713584.0,Insider,Weak Passwords,Firewall,26.0
India,,DDoS,IT,70.09,417831.0,,Unpatched Software,Encryption,36.0
USA,2019.0,Ransomware,Banking,22.62,51219.0,Unknown,Zero-day,Encryption,36.0
UK,2017.0,Ransomware,Retail,47.91,153257.0,Insider,,Encryption,59.0
Russia,,Phishing,Retail,20.58,768022.0,Unknown,Zero-day,VPN,64.0
France,2024.0,Phishing,Banking,26.29,,Hacker Group,Unpatched Software,,28.0
Germany,2020.0,,IT,33.51,649406.0,Insider,Social Engineering,Firewall,27.0
Japan,2023.0,Phishing,Education,68.28,744595.0,Insider,Zero-day,Antivirus,44.0
Brazil,2021.0,DDoS,Banking,14.72,126781.0,Insider,Weak Passwords,Antivirus,32.0
France,2015.0,Phishing,Retail,44.29,427167.0,Insider,Unpatched Software,Encryption,11.0
Australia,2023.0,Ransomware,Retail,41.54,396865.0,Insider,Social Engineering,AI-based Detection,42.0
UK,2019.0,Phishing,Telecommunications,90.67,902952.0,Unknown,Weak Passwords,Encryption,8.0
USA,2023.0,Ransomware,IT,34.94,632075.0,Insider,Social Engineering,Encryption,64.0
France,2017.0,SQL Injection,Healthcare,83.73,728486.0,Nation-state,Social Engineering,Encryption,61.0
Australia,2018.0,DDoS,Education,64.62,109439.0,Insider,Zero-day,Antivirus,32.0
India,2018.0,Malware,,86.38,1174.0,Insider,Weak Passwords,,23.0
Russia,2024.0,Phishing,Education,25.7,953987.0,Insider,Social Engineering,AI-based Detection,65.0
Brazil,2021.0,DDoS,Government,56.2,713309.0,Hacker Group,Zero-day,Antivirus,51.0
Russia,2021.0,DDoS,Healthcare,11.38,334528.0,Insider,Weak Passwords,VPN,5.0
USA,2016.0,Phishing,IT,92.53,219826.0,Nation-state,Social Engineering,Antivirus,38.0
USA,2015.0,SQL Injection,Telecommunications,88.6,916744.0,Nation-state,Social Engineering,Antivirus,47.0
USA,2017.0,Man-in-the-Middle,IT,30.4,568560.0,Hacker Group,Zero-day,AI-based Detection,49.0
UK,2019.0,Malware,Education,90.7,440178.0,Insider,Unpatched Software,VPN,15.0
Japan,2023.0,SQL Injection,Healthcare,45.38,172628.0,Insider,Weak Passwords,Encryption,4.0
USA,2022.0,Ransomware,Government,71.33,257989.0,Unknown,Unpatched Software,AI-based Detection,68.0
